event_id,match_id,event_name,event_date,event_place,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,duration
4094,5,UFC 63 - Hughes vs. Penn 2,2006-09-23,"Honda Center, Anaheim, California, United States",Joe Lauzon,Jens Pulver,win,loss,4923,228,KO,Punch,Herb Dean,1,0:48
4094,4,UFC 63 - Hughes vs. Penn 2,2006-09-23,"Honda Center, Anaheim, California, United States",Roger Huerta,Jason Dent,win,loss,10089,8321,Decision,Unanimous,Steve Mazzagatti,3,5:00
4094,2,UFC 63 - Hughes vs. Penn 2,2006-09-23,"Honda Center, Anaheim, California, United States",Jorge Gurgel,Danny Abbadi,win,loss,4025,16696,Decision,Unanimous,Herb Dean,3,5:00
4112,9,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Tito Ortiz,Ken Shamrock,win,loss,158,4,TKO,Punches,John McCarthy,1,2:23
4112,8,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Kendall Grove,Chris Price,win,loss,10126,14121,Submission,Elbows,Troy Waugh,1,3:59
4112,7,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Jason MacDonald,Ed Herman,win,loss,4389,6561,Submission,Triangle Choke,Jorge Alonso,1,2:43
4112,6,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Matt Hamill,Seth Petruzelli,win,loss,16695,2738,Decision,Unanimous,John McCarthy,3,5:00
4112,5,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Nate Marquardt,Crafton Wallace,win,loss,1712,8269,Submission,Rear-Naked Choke,Troy Waugh,2,1:14
4112,4,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Tony DeSouza,Dustin Hazelett,win,loss,487,11481,Submission,Kimura,Marco Lopez,1,3:59
4112,3,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Rory Singer,Josh Haynes,win,loss,3525,6254,Decision,Unanimous,John McCarthy,3,5:00
4112,2,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Thiago Alves,John Alessio,win,loss,5998,259,Decision,Unanimous,Troy Waugh,3,5:00
4112,1,UFC Fight Night 6.5 - Ortiz vs. Shamrock 3,2006-10-10,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Marcus Davis,Forrest Petz,win,loss,8592,4411,Submission,Guillotine Choke,Jorge Alonso,1,4:58
4181,8,UFC 64 - Unstoppable,2006-10-14,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Anderson Silva,Rich Franklin,win,loss,1356,392,KO,Knee,John McCarthy,1,2:59
4181,7,UFC 64 - Unstoppable,2006-10-14,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Sean Sherk,Kenny Florian,win,loss,277,8021,Decision,Unanimous,Steve Mazzagatti,5,5:00
4181,6,UFC 64 - Unstoppable,2006-10-14,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Jon Fitch,Kuniyoshi Hironaka,win,loss,4865,2575,Decision,Unanimous,Mario Yamasaki,3,5:00
4181,5,UFC 64 - Unstoppable,2006-10-14,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Carmelo Marrero,Cheick Kongo,win,loss,12855,2193,Decision,Split,Yves Lavigne,3,5:00
4181,4,UFC 64 - Unstoppable,2006-10-14,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Spencer Fisher,Dan Lauzon,win,loss,5118,16556,TKO,Punches,Mario Yamasaki,1,4:38
4181,3,UFC 64 - Unstoppable,2006-10-14,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Yushin Okami,Kalib Starnes,win,loss,5569,8095,TKO,Punches,Yves Lavigne,3,1:40
4181,2,UFC 64 - Unstoppable,2006-10-14,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Clay Guida,Justin James,win,loss,8184,1926,Submission,Rear-Naked Choke,Steve Mazzagatti,2,4:42
4181,1,UFC 64 - Unstoppable,2006-10-14,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Kurt Pellegrino,Junior Assuncao,win,loss,4153,10380,Submission,Rear-Naked Choke,John McCarthy,1,2:04
4314,8,UFC - The Ultimate Fighter 4 Finale,2006-11-11,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Matt Serra,Chris Lytle,win,loss,1305,267,Decision,Split,Herb Dean,3,5:00
4314,7,UFC - The Ultimate Fighter 4 Finale,2006-11-11,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Travis Lutter,Patrick Cote,win,loss,4586,6612,Submission,Armbar,John McCarthy,1,2:18
4314,6,UFC - The Ultimate Fighter 4 Finale,2006-11-11,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Din Thomas,Rich Clementi,win,loss,1301,1046,Submission,Rear-Naked Choke,Steve Mazzagatti,2,3:11
4314,5,UFC - The Ultimate Fighter 4 Finale,2006-11-11,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Jorge Rivera,Edwin Dewees,win,loss,2712,720,TKO,Punches,Yves Lavigne,1,2:37
4314,4,UFC - The Ultimate Fighter 4 Finale,2006-11-11,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Pete Spratt,Jeremy Jackson,win,loss,3195,2651,Submission,Neck Injury,Herb Dean,2,1:11
4314,3,UFC - The Ultimate Fighter 4 Finale,2006-11-11,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Scott Smith,Pete Sell,win,loss,2578,7795,KO,Punch,John McCarthy,2,3:25
4314,2,UFC - The Ultimate Fighter 4 Finale,2006-11-11,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Charles McCarthy,Gideon Ray,win,loss,7987,4555,Submission,Armbar,Steve Mazzagatti,1,4:43
4314,1,UFC - The Ultimate Fighter 4 Finale,2006-11-11,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Martin Kampmann,Thales Leites,win,loss,5344,8593,Decision,Unanimous,Yves Lavigne,3,5:00
4313,9,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",Georges St. Pierre,Matt Hughes,win,loss,3500,232,TKO,Head Kick and Punches,John McCarthy,2,1:25
4313,8,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",Tim Sylvia,Jeff Monson,win,loss,1061,262,Decision,Unanimous,John McCarthy,5,5:00
4313,7,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",Drew McFedries,Alessio Sakara,win,loss,2386,5366,TKO,Punches,Mario Yamasaki,1,4:07
4313,6,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",Brandon Vera,Frank Mir,win,loss,4886,2329,TKO,Punches,Steve Mazzagatti,1,1:09
4313,5,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",Joe Stevenson,Dokonjonosuke Mishima,win,loss,65,1170,Submission,Guillotine Choke,Mario Yamasaki,1,2:07
4313,4,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",Nick Diaz,Gleison Tibau,win,loss,2831,5993,TKO,Punches,Steve Mazzagatti,2,2:27
4313,3,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",Antoni Hardonk,Sherman Pendergarst,win,loss,1518,12854,KO,Punch,John McCarthy,1,3:15
4313,2,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",James Irvin,Hector Ramirez,win,loss,7780,10581,TKO,Kick to the Body and Elbows,Mario Yamasaki,2,2:36
6778,8,UFC 85 - Bedlam,2008-06-07,"O2 Arena, London, England, England",Thales Leites,Nate Marquardt,win,loss,8593,1712,Decision,Split,Herb Dean,3,5:00
4313,1,UFC 65 - Bad Intentions,2006-11-18,"ARCO Arena, Sacramento, California, United States",Jake O'Brien,Josh Schockman,win,loss,14892,13270,Decision,Unanimous,Steve Mazzagatti,3,5:00
4626,9,UFC Fight Night 7 - Sanchez vs. Riggs,2006-12-13,"Marine Corps Air Station Miramar, San Diego, California, United States",Diego Sanchez,Joe Riggs,win,loss,4824,2765,KO,Knee,John McCarthy,1,1:45
4626,8,UFC Fight Night 7 - Sanchez vs. Riggs,2006-12-13,"Marine Corps Air Station Miramar, San Diego, California, United States",Josh Koscheck,Jeff Joslin,win,loss,9418,6606,Decision,Unanimous,Herb Dean,3,5:00
4626,7,UFC Fight Night 7 - Sanchez vs. Riggs,2006-12-13,"Marine Corps Air Station Miramar, San Diego, California, United States",Karo Parisyan,Drew Fickett,win,loss,5153,725,Decision,Unanimous,Steve Mazzagatti,3,5:00
4626,6,UFC Fight Night 7 - Sanchez vs. Riggs,2006-12-13,"Marine Corps Air Station Miramar, San Diego, California, United States",Marcus Davis,Shonie Carter,win,loss,8592,239,Decision,Unanimous,John McCarthy,3,5:00
4626,5,UFC Fight Night 7 - Sanchez vs. Riggs,2006-12-13,"Marine Corps Air Station Miramar, San Diego, California, United States",David Heath,Victor Valimaki,win,loss,11483,4391,Decision,Split,Herb Dean,3,5:00
4626,4,UFC Fight Night 7 - Sanchez vs. Riggs,2006-12-13,"Marine Corps Air Station Miramar, San Diego, California, United States",Alan Belcher,Jorge Santiago,win,loss,10967,5735,KO,Head Kick,Steve Mazzagatti,3,2:45
4626,3,UFC Fight Night 7 - Sanchez vs. Riggs,2006-12-13,"Marine Corps Air Station Miramar, San Diego, California, United States",Luigi Fioravanti,Dave Menne,win,loss,12199,245,TKO,Punches,John McCarthy,1,4:44
4626,2,UFC Fight Night 7 - Sanchez vs. Riggs,2006-12-13,"Marine Corps Air Station Miramar, San Diego, California, United States",Brock Larson,Keita Nakamura,win,loss,6373,9572,Decision,Unanimous,Herb Dean,3,5:00
4312,3,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Gabriel Gonzaga,Carmelo Marrero,win,loss,7306,12855,Submission,Armbar,Herb Dean,1,3:22
4312,2,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Yushin Okami,Rory Singer,win,loss,5569,3525,Submission,Punches,Steve Mazzagatti,3,4:03
4312,1,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Christian Wellisch,Anthony Perosh,win,loss,3328,9491,Decision,Unanimous,Herb Dean,3,5:00
4312,9,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Chuck Liddell,Tito Ortiz,win,loss,192,158,TKO,Punches,Mario Yamasaki,3,3:59
4312,8,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Keith Jardine,Forrest Griffin,win,loss,2638,3526,TKO,Punches,John McCarthy,1,4:41
4312,7,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Jason MacDonald,Chris Leben,win,loss,4389,6258,Submission,Guillotine Choke,Steve Mazzagatti,2,4:03
4312,6,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Andrei Arlovski,Marcio Cruz,win,loss,270,13976,KO,Punches,Herb Dean,1,3:15
4312,5,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Michael Bisping,Eric Schafer,win,loss,10196,13275,TKO,Punches,Mario Yamasaki,1,4:24
4312,4,UFC 66 - Liddell vs. Ortiz 2,2006-12-30,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Thiago Alves,Tony DeSouza,win,loss,5998,487,KO,Knee,John McCarthy,2,1:10
4664,8,UFC Fight Night 8 - Evans vs. Salmon,2007-01-25,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Rashad Evans,Sean Salmon,win,loss,10200,14515,KO,Head Kick,Troy Waugh,2,1:06
4664,7,UFC Fight Night 8 - Evans vs. Salmon,2007-01-25,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Jake O'Brien,Heath Herring,win,loss,14892,13,Decision,Unanimous,John McCarthy,3,5:00
4664,6,UFC Fight Night 8 - Evans vs. Salmon,2007-01-25,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Hermes Franca,Spencer Fisher,win,loss,3068,5118,TKO,Punches,Jorge Alonso,2,4:03
4664,5,UFC Fight Night 8 - Evans vs. Salmon,2007-01-25,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Nate Marquardt,Dean Lister,win,loss,1712,338,Decision,Unanimous,John McCarthy,3,5:00
4664,4,UFC Fight Night 8 - Evans vs. Salmon,2007-01-25,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Joshua Burkman,Chad Reiner,win,loss,10003,14016,Decision,Unanimous,Troy Waugh,3,5:00
4664,3,UFC Fight Night 8 - Evans vs. Salmon,2007-01-25,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Ed Herman,Chris Price,win,loss,6561,14121,Submission,Armbar,Jorge Alonso,1,2:58
4664,2,UFC Fight Night 8 - Evans vs. Salmon,2007-01-25,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Din Thomas,Clay Guida,win,loss,1301,8184,Decision,Unanimous,John McCarthy,3,5:00
4664,1,UFC Fight Night 8 - Evans vs. Salmon,2007-01-25,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Rich Clementi,Ross Pointon,win,loss,1046,6541,Submission,Rear-Naked Choke,Troy Waugh,2,4:53
4311,9,UFC 67 - All or Nothing,2007-02-03,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Anderson Silva,Travis Lutter,win,loss,1356,4586,Submission,Elbows,Herb Dean,2,2:11
4311,8,UFC 67 - All or Nothing,2007-02-03,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Mirko Filipovic,Eddie Sanchez,win,loss,2326,12098,TKO,Punches,Steve Mazzagatti,1,4:33
4311,7,UFC 67 - All or Nothing,2007-02-03,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Roger Huerta,John Halverson,win,loss,10089,7407,TKO,Punches,Yves Lavigne,1,0:19
4311,6,UFC 67 - All or Nothing,2007-02-03,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Quinton Jackson,Marvin Eastman,win,loss,348,339,KO,Punches,John McCarthy,2,3:49
4311,5,UFC 67 - All or Nothing,2007-02-03,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Patrick Cote,Scott Smith,win,loss,6612,2578,Decision,Unanimous,Yves Lavigne,3,5:00
1863,7,UFC 45 - Revolution,2003-11-21,"Mohegan Sun Arena, Uncasville, Conneticut, United States",Matt Lindland,Falaniko Vitale,win,loss,276,370,TKO,Punches,N/A,3,4:23
1863,6,UFC 45 - Revolution,2003-11-21,"Mohegan Sun Arena, Uncasville, Conneticut, United States",Wesley Correira,David Abbott,win,loss,2829,110,TKO,Cut,N/A,1,2:14
4311,4,UFC 67 - All or Nothing,2007-02-03,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Terry Martin,Jorge Rivera,win,loss,7202,2712,KO,Punches,Herb Dean,1,0:14
4311,3,UFC 67 - All or Nothing,2007-02-03,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Frankie Edgar,Tyson Griffin,win,loss,14204,11689,Decision,Unanimous,Steve Mazzagatti,3,5:00
4311,1,UFC 67 - All or Nothing,2007-02-03,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Dustin Hazelett,Diego Saraiva,win,loss,11481,9534,Decision,Unanimous,Yves Lavigne,3,5:00
4662,9,UFC 68 - Uprising,2007-03-03,"Nationwide Arena, Columbus, Ohio, United States",Randy Couture,Tim Sylvia,win,loss,166,1061,Decision,Unanimous,John McCarthy,5,5:00
4662,8,UFC 68 - Uprising,2007-03-03,"Nationwide Arena, Columbus, Ohio, United States",Martin Kampmann,Drew McFedries,win,loss,5344,2386,Submission,Arm-Triangle Choke,Herb Dean,1,4:06
4662,7,UFC 68 - Uprising,2007-03-03,"Nationwide Arena, Columbus, Ohio, United States",Rich Franklin,Jason MacDonald,win,loss,392,4389,TKO,Corner Stoppage,Herb Dean,2,5:00
4662,6,UFC 68 - Uprising,2007-03-03,"Nationwide Arena, Columbus, Ohio, United States",Matt Hughes,Chris Lytle,win,loss,232,267,Decision,Unanimous,Mark Matheny,3,5:00
4662,5,UFC 68 - Uprising,2007-03-03,"Nationwide Arena, Columbus, Ohio, United States",Jason Lambert,Renato Sobral,win,loss,495,274,KO,Punch,John McCarthy,2,3:26
4662,3,UFC 68 - Uprising,2007-03-03,"Nationwide Arena, Columbus, Ohio, United States",Jon Fitch,Luigi Fioravanti,win,loss,4865,12199,Submission,Rear-Naked Choke,Mark Matheny,2,3:05
4662,2,UFC 68 - Uprising,2007-03-03,"Nationwide Arena, Columbus, Ohio, United States",Gleison Tibau,Jason Dent,win,loss,5993,8321,Decision,Unanimous,Herb Dean,3,5:00
4662,1,UFC 68 - Uprising,2007-03-03,"Nationwide Arena, Columbus, Ohio, United States",Jamie Varner,Jason Gilliam,win,loss,7168,10754,Submission,Rear-Naked Choke,Mark Matheny,1,1:34
4682,9,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Joe Stevenson,Melvin Guillard,win,loss,65,7431,Submission,Guillotine Choke,Steve Mazzagatti,1,0:27
4682,8,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Justin McCully,Antoni Hardonk,win,loss,930,1518,Decision,Unanimous,Herb Dean,3,5:00
4682,7,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Kenny Florian,Dokonjonosuke Mishima,win,loss,8021,1170,Submission,Rear-Naked Choke,John McCarthy,3,3:57
4682,6,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Wilson Gouveia,Seth Petruzelli,win,loss,3070,2738,Submission,Guillotine Choke,Yves Lavigne,2,0:39
4682,5,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Drew Fickett,Keita Nakamura,win,loss,725,9572,Decision,Unanimous,Steve Mazzagatti,3,5:00
4682,4,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Kurt Pellegrino,Nate Mohr,win,loss,4153,8396,Submission,Achilles Lock,Herb Dean,1,2:58
4682,3,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Kuniyoshi Hironaka,Forrest Petz,win,loss,2575,4411,Decision,Unanimous,John McCarthy,3,5:00
4682,2,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Roan Carneiro,Rich Clementi,win,loss,2886,1046,Decision,Unanimous,Yves Lavigne,3,5:00
4682,1,UFC Fight Night 9 - Stevenson vs. Guillard,2007-04-05,"Palms Casino Resort, Las Vegas, Nevada, United States",Thiago Tavares,Naoyuki Kotani,win,loss,4647,393,Decision,Unanimous,Herb Dean,3,5:00
4663,9,UFC 69 - Shootout,2007-04-07,"Toyota Center, Houston, Texas, United States",Matt Serra,Georges St. Pierre,win,loss,1305,3500,TKO,Punches,John McCarthy,1,3:25
4663,8,UFC 69 - Shootout,2007-04-07,"Toyota Center, Houston, Texas, United States",Josh Koscheck,Diego Sanchez,win,loss,9418,4824,Decision,Unanimous,John McCarthy,3,5:00
4663,7,UFC 69 - Shootout,2007-04-07,"Toyota Center, Houston, Texas, United States",Roger Huerta,Leonard Garcia,win,loss,10089,2815,Decision,Unanimous,Mario Yamasaki,3,5:00
4663,5,UFC 69 - Shootout,2007-04-07,"Toyota Center, Houston, Texas, United States",Kendall Grove,Alan Belcher,win,loss,10126,10967,Submission,Brabo Choke,John McCarthy,2,4:42
4663,4,UFC 69 - Shootout,2007-04-07,"Toyota Center, Houston, Texas, United States",Heath Herring,Brad Imes,win,loss,13,11453,Decision,Unanimous,Kerry Hatley,3,5:00
4663,3,UFC 69 - Shootout,2007-04-07,"Toyota Center, Houston, Texas, United States",Thales Leites,Pete Sell,win,loss,8593,7795,Decision,Unanimous,Mario Yamasaki,3,5:00
4663,2,UFC 69 - Shootout,2007-04-07,"Toyota Center, Houston, Texas, United States",Marcus Davis,Pete Spratt,win,loss,8592,3195,Submission,Achilles Lock,Kerry Hatley,2,2:57
4663,1,UFC 69 - Shootout,2007-04-07,"Toyota Center, Houston, Texas, United States",Luke Cummo,Josh Haynes,win,loss,6428,6254,KO,Punch,Kerry Hatley,2,2:45
4862,10,UFC 70 - Nations Collide,2007-04-21,"Manchester Evening News Arena, Manchester, Lancashire, England",Gabriel Gonzaga,Mirko Filipovic,win,loss,7306,2326,KO,Head Kick,Herb Dean,1,4:51
4862,9,UFC 70 - Nations Collide,2007-04-21,"Manchester Evening News Arena, Manchester, Lancashire, England",Andrei Arlovski,Fabricio Werdum,win,loss,270,8390,Decision,Unanimous,Herb Dean,3,5:00
4862,8,UFC 70 - Nations Collide,2007-04-21,"Manchester Evening News Arena, Manchester, Lancashire, England",Michael Bisping,Elvis Sinosic,win,loss,10196,281,TKO,Punches,Steve Mazzagatti,2,1:20
4862,7,UFC 70 - Nations Collide,2007-04-21,"Manchester Evening News Arena, Manchester, Lancashire, England",Lyoto Machida,David Heath,win,loss,7513,11483,Decision,Unanimous,Mario Yamasaki,3,5:00
1424,3,UFC 41 - Onslaught,2003-02-28,"Boardwalk Hall, Atlantic City, New Jersey, United States",Din Thomas,Matt Serra,win,loss,1301,1305,Decision,Split,N/A,3,5:00
4862,6,UFC 70 - Nations Collide,2007-04-21,"Manchester Evening News Arena, Manchester, Lancashire, England",Cheick Kongo,Assuerio Silva,win,loss,2193,1587,Decision,Majority,Mario Yamasaki,3,5:00
4862,5,UFC 70 - Nations Collide,2007-04-21,"Manchester Evening News Arena, Manchester, Lancashire, England",Terry Etim,Matt Grice,win,loss,13332,14539,Submission,Guillotine Choke,Steve Mazzagatti,1,4:38
4862,3,UFC 70 - Nations Collide,2007-04-21,"Manchester Evening News Arena, Manchester, Lancashire, England",Alessio Sakara,Victor Valimaki,win,loss,5366,4391,TKO,Punches,Mario Yamasaki,1,1:44
4862,1,UFC 70 - Nations Collide,2007-04-21,"Manchester Evening News Arena, Manchester, Lancashire, England",Paul Taylor,Edilberto de Oliveira,win,loss,6326,11907,TKO,Head Kick and Punches,Herb Dean,3,0:37
4993,9,UFC 71 - Liddell vs. Jackson,2007-05-26,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Quinton Jackson,Chuck Liddell,win,loss,348,192,TKO,Punches,John McCarthy,1,1:53
4993,8,UFC 71 - Liddell vs. Jackson,2007-05-26,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Karo Parisyan,Joshua Burkman,win,loss,5153,10003,Decision,Unanimous,Herb Dean,3,5:00
4993,7,UFC 71 - Liddell vs. Jackson,2007-05-26,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Terry Martin,Ivan Salaverry,win,loss,7202,1351,TKO,Suplex and Punches,Mario Yamasaki,1,2:04
4993,5,UFC 71 - Liddell vs. Jackson,2007-05-26,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Kalib Starnes,Chris Leben,win,loss,8095,6258,Decision,Unanimous,Mario Yamasaki,3,5:00
4993,4,UFC 71 - Liddell vs. Jackson,2007-05-26,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Thiago Silva,James Irvin,win,loss,14396,7780,TKO,Knee Injury,Herb Dean,1,1:06
4993,3,UFC 71 - Liddell vs. Jackson,2007-05-26,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Alan Belcher,Sean Salmon,win,loss,10967,14515,Submission,Guillotine Choke,Steve Mazzagatti,1,0:53
4993,2,UFC 71 - Liddell vs. Jackson,2007-05-26,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Din Thomas,Jeremy Stephens,win,loss,1301,12179,Submission,Armbar,John McCarthy,2,2:44
4993,1,UFC 71 - Liddell vs. Jackson,2007-05-26,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Wilson Gouveia,Carmelo Marrero,win,loss,3070,12855,Submission,Guillotine Choke,Mario Yamasaki,1,3:06
5227,9,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Spencer Fisher,Sam Stout,win,loss,5118,9901,Decision,Unanimous,John McCarthy,3,5:00
5227,8,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Jon Fitch,Roan Carneiro,win,loss,4865,2886,Submission,Rear-Naked Choke,Troy Waugh,2,1:07
5227,7,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Drew McFedries,Jordan Radev,win,loss,2386,5925,KO,Punch,Jorge Alonso,1,0:33
5227,6,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Thiago Tavares,Jason Black,win,loss,4647,1042,Submission,Triangle Choke,John McCarthy,2,2:49
5227,5,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Forrest Petz,Luigi Fioravanti,win,loss,4411,12199,Decision,Unanimous,Troy Waugh,3,5:00
5227,4,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Tamdan McCrory,Pete Spratt,win,loss,16470,3195,Submission,Triangle Choke,Jorge Alonso,2,2:04
5227,3,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Gleison Tibau,Jeff Cox,win,loss,5993,9785,Submission,Arm-Triangle Choke,John McCarthy,1,1:52
5227,2,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Anthony Johnson,Chad Reiner,win,loss,17662,14016,KO,Punches,Troy Waugh,1,0:13
5227,1,UFC Fight Night 10 - Stout vs. Fisher 2,2007-06-12,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",Nate Mohr,Luke Caudillo,win,loss,8396,7406,Decision,Unanimous,Jorge Alonso,3,5:00
5084,8,UFC 72 - Victory,2007-06-16,"The Odyssey, Belfast, Northern Ireland, Ireland",Rich Franklin,Yushin Okami,win,loss,392,5569,Decision,Unanimous,John McCarthy,3,5:00
5084,7,UFC 72 - Victory,2007-06-16,"The Odyssey, Belfast, Northern Ireland, Ireland",Forrest Griffin,Hector Ramirez,win,loss,3526,10581,Decision,Unanimous,Herb Dean,3,5:00
